,ret_asx
95,0.6341589946380566
96,-0.39463158002757126
97,0.2853574674071879
98,-0.5781948168550599
99,1.1398826562235342
100,0.5093919522396462
101,0.9915895018689724
102,0.22694125479993943
103,1.698571980077901
104,0.2512091419387019
105,0.03492319162141655
106,-1.1912254135644673
107,0.4519698494235058
108,0.6312604327350257
109,-1.0446863030212583
110,0.14120356466023054
111,0.47670643178250316
112,0.24545991673914358
113,0.32740691331056837
114,0.1300240731170632
115,0.732602484254663
116,-0.15112738038549622
117,0.11022407755731933
118,0.02202870725174222
119,0.38631460425673225
120,0.7432827688811372
121,1.2553531461410472
122,1.7271992675727432
123,-0.09366107350832209
124,0.06043939445348201
125,0.31369440831472417
126,-0.4104208874444737
127,-0.04839096091053818
128,0.5581465886656645
129,-0.015044154400989385
130,-0.14755702333726362
131,-0.3592481491775601
132,-0.09077156447769852
133,0.2992310561372946
134,-0.387052333442206
135,-0.03030211139236627
136,0.039385037627504005
137,0.9467641941878213
138,-0.8105305738851598
139,-0.7073973996131855
140,0.024365717942309573
141,-0.755226769971884
142,-0.09826050031715994
143,-0.11988450076998447
144,0.08915781440137494
145,0.4996729954218182
146,0.14666940389229666
147,0.0640951596192707
148,0.8447088917469259
149,-0.08172631187317592
150,0.22685691703792088
151,0.16603526535288182
152,-0.1871853404104229
153,0.1751149205796665
154,0.24706837854342467
155,0.2614601552705764
156,0.1349709997523263
157,0.23650642994113014
158,-0.15861052671422016
159,0.4333345221557039
160,0.32748846797883147
161,0.2375016029093402
162,-0.1483723867817588
163,-0.10399181189288953
164,0.1633671864547992
165,-0.34486458248288443
166,-1.8030417870859239
167,1.0227075290083931
168,0.46713957253885496
169,0.0
170,-0.7827916602689555
171,-0.4405648034943255
172,0.4134654328925791
173,-0.7011831145726788
174,0.8125553141161035
175,0.3033930176925992
176,0.31443269929418705
177,-0.44348773704747657
178,-1.6167027939246736
179,-1.2190951695854935
180,0.5545813354540741
181,-0.05839116089827456
182,-1.9934199285238208
183,0.8338701501800827
184,0.7992127368870783
185,0.46787879945107136
186,1.0508696782046911
187,0.2458487513804286
188,0.054551893590648604
189,0.8177060276969073
190,-0.2738323318229874
191,-0.22021603996975614
192,-0.5390047175184876
193,-0.5846708402618361
194,-0.2783119055028038
195,-0.13791203605872937
196,-1.0543922886618873
197,-0.7653605287336163
198,2.0005365425859623
199,-0.07350237565031392
200,-1.1554766762776225
201,-1.0592989515847862
202,1.3409269181915207
203,0.98713392118146
204,-0.22056656105071681
205,0.11034783207843901
206,-0.7564641748279755
207,0.15421630578771328
208,0.6053067786663036
209,-0.3006538447436924
210,0.6797941074173863
211,0.38074397023208917
212,0.98620879658462
213,0.3875843203990925
214,1.1360157292168438
215,-0.5559602130404073
216,-0.6190474282103509
217,-0.9827674098872308
218,-0.3064417826699639
219,0.021267677538894247
220,0.8741840261958345
221,-0.5405470773409249
222,0.8022269112275993
223,-0.12022483136640005
224,-0.7244002367459146
225,-0.498046714546696
226,-0.10661144347512419
227,-0.018283200122759524
228,0.6865318543626486
229,0.09077980604441649
230,-0.9298390640985588
231,-0.030533418153666503
232,0.2896917486962636
233,-0.07311055997547555
234,0.7528662199772995
235,0.04838078383695432
236,0.027199296852664645
237,-0.6488183942849446
238,0.7515127698759727
239,0.024150230913377868
240,-0.47498693951872895
241,-0.6236235892654207
242,-1.4693956298767574
243,0.22890128552166544
244,0.6620807086161307
245,-0.3967266866776953
246,-1.8473516287309977
247,0.31965776988265304
248,1.0148609084506433
249,0.23511499069304165
250,-0.9313366851310789
251,1.6978171678701415
252,-0.7819318960345711
253,1.7796655519713767
254,0.20017153766112017
255,-1.0998284057674113
256,-0.5960856656239244
257,-0.17581322832391777
258,-0.4207360931451021
259,0.5441471929827912
260,0.23713693826330484
261,-0.35437537189348944
262,0.4404697993491524
263,1.1064344177658114
264,0.657434627675002
265,0.2442916919520144
266,-0.9412430697802066
267,0.2611636654593852
268,0.7312742740412048
269,-0.12653125131496523
270,0.5321625752188197
271,0.20369802979356422
272,0.6740287270849521
273,-0.26787324397012924
274,-1.2747431768051598
275,0.3766142297019215
276,-0.39774514968566876
277,0.5209619457671621
278,-0.5119105550900116
279,0.5389431990968419
280,0.3237718627444153
281,0.2690101974168968
282,-0.7310061703975634
283,-0.1685231213633287
284,-0.8681955861339574
285,0.33970901072368775
286,0.36570404580640314
287,-0.6689551183225007
288,-0.01822730762714997
289,0.29119462198732293
290,0.02422182590589017
291,0.7271252906049241
292,0.706952508816272
293,-0.4997450458319008
294,0.2845889696297732
295,-0.2845889696297732
296,0.8543260156775645
297,-0.5517872474527508
298,-0.3655529654277956
299,-0.3187043484233598
300,-1.7007729437027663
301,-0.024509047884002655
302,-0.6454808367635678
303,0.2925194235759321
304,-1.1254804008920871
305,0.4250887228863576
306,-0.13632542293340322
